能力,任务,题目,模型答案,知识点类型,知识点标题,知识点内容,知识点路径
语义理解,信息提取,"你是核心网运维工程师，你的任务是根据指令从提供的输入中提取信息

输入：
【配置场景】在VNF与运营商网络的其他设备互通时，需要在网关侧进行的路由配置。与VNF连接的网关推荐采用运营商的PE交换机、或者DC GW网关、部分局点也用EOR交换机。无论采用何种型号设备，网关上的配置要求相同（如下所示），详细操作步骤请获取并参考相应型号设备的产品文档。运营商PE上的数据，需以运营商的规划和配置为准。
指令：
请提取配置场景, VNF连接的网关推荐设备, 网关上的配置要求, 运营商PE上的数据共4个信息

所有信息的默认值都为空字符串，以json格式输出","{
""配置场景"": ""在VNF与运营商网络的其他设备互通时，需要在网关侧进行的路由配置"",
""VNF连接的网关推荐设备"": ""运营商的PE交换机、或者DC GW网关、部分局点也用EOR交换机"",
""网关上的配置要求"": ""无论采用何种型号设备，网关上的配置要求相同，详细操作步骤请获取并参考相应型号设备的产品文档"",
""运营商PE上的数据"": ""需以运营商的规划和配置为准""
}",事实描述,描述在VNF与运营商网络的其他设备互通时，需要在网关侧进行的路由配置,为实现VNF与运营商网络的其他设备互通，除了在VNF上进行相关接口路由配置外，还需要在下一跳设备例如网关侧进行相应的路由配置，才能打通VNF对外的网络通信路径。与VNF连接的网关推荐采用运营商的PE交换机、或者DC GW网关、部分局点也用EOR交换机。无论采用何种型号设备，网关上的配置要求相同（如下所示），详细操作步骤请获取并参考相应型号设备的产品文档。运营商PE上的数据，需以运营商的规划和配置为准。,网络部署/初始配置/UNC初始配置与调测/组网路由配置/ce_ugw_022616_06.html
语义理解,信息提取,"你是核心网运维工程师，你的任务是根据指令从提供的输入中提取信息

输入：
【操作指令】SET S1CMPT: MMEID=1, DLAISPT=NO, ALLMMESRVPLMNSPT=YES, ZUCHONGZHI=YES, TMTWSE=NO, SPIDSPT=NO, HRLSPT=YES, IMSVMASK=ALL, NXPAGAREASCP=ON, SECURITYCTXTSPT=YES;
指令：
请提取MMEID、DLAISPT、ALLMMESRVPLMNSPT、ZUCHONGZHI、TMTWSE、SPIDSPT、HRLSPT、IMSVMASK、NXPAGAREASCP、SECURITYCTXTSPT共10个信息

所有信息的默认值都为空字符串，以json格式输出","{
""MMEID"": ""1"",
""DLAISPT"": ""NO"",
""ALLMMESRVPLMNSPT"": ""YES"",
""ZUCHONGZHI"": ""YES"",
""TMTWSE"": ""NO"",
""SPIDSPT"": ""NO"",
""HRLSPT"": ""YES"",
""IMSVMASK"": ""ALL"",
""NXPAGAREASCP"": ""ON"",
""SECURITYCTXTSPT"": ""YES""
}",处理步骤,详细描述了如何设置S1接口的兼容性，包括各种参数的设置以及它们的含义和取值范围。,设置S1接口兼容性(SET S1CMPT)，该命令用于设置S1接口兼容性参数。包括参数说明和使用实例。具体参数包括：是否支持Register LAI信元、发送所有MME服务PLMN、eNodeB是否支持祖冲之算法、是否携带Time to Wait信元、NAS transport消息是否携带SPID信元、NAS TRANSPORT消息是否携带HRL信元、Masked IMEISV发送范围、Next Paging Area Scope开关、UE CONTEXT SUSPEND RESPONSE和UE CONTEXT RESUME RESPONSE消息中是否携带Security Context等。,OM参考/命令/UNC MML命令/业务服务管理/Pre 5G接入业务管理/控制面管理/S1接口管理/S1接口兼容性/set_s1cmpt.html
语义理解,信息提取,"你是核心网运维工程师，你的任务是根据指令从提供的输入中提取信息

输入：
【昨日故障信息】我方接收到来自浙江省金华市文和街的故障报告，故障现象为物联卡无法上网，当地信号差，需测试信号并进行优化。故障号码为1441475129311，IMSI为460086751209311，APN为CMNBIOT6，故障开始时间为11月28日。【今日故障信息】我方接收到来自广东省深圳市南山区的故障报告，故障现象为无法接入5G网络，故障号码为1441475129312，IMSI为460086751209312，APN为CMNBIOT7，故障开始时间为11月29日。
指令：
请提取故障现象、故障地点、故障号码、故障开始时间、APN、IMSI共6个信息

所有信息的默认值都为空字符串，以json格式输出","{
""昨日故障信息"": {
    ""故障现象"": ""物联卡无法上网，当地信号差，需测试信号并进行优化"",
    ""故障地点"": ""浙江省金华市文和街"",
    ""故障号码"": ""1441475129311"",
    ""故障开始时间"": ""11月28日"",
    ""APN"": ""CMNBIOT6"",
    ""IMSI"": ""460086751209311""
},
""今日故障信息"": {
    ""故障现象"": ""无法接入5G网络"",
    ""故障地点"": ""广东省深圳市南山区"",
    ""故障号码"": ""1441475129312"",
    ""故障开始时间"": ""11月29日"",
    ""APN"": ""CMNBIOT7"",
    ""IMSI"": ""460086751209312""
}
}",表格,描述在5G中AMF查询MME时使用的域名规划，包括域名构造来源、标准域名格式、域名举例以及DNS查询方式。,"**表1** 域名规划AMF使用的域名构造来源 | 标准域名格式 | 域名举例 | DNS查询方式  
---|---|---|---  
5G终端携带的5G-GUTI（5G-GUTI是由MME分配的GUTI映射成而来，AMF对mmec和mmegi直接使用） | MMEC<AA>.MMEGI<BBBB>.MME.EPC.MNC<YYY>.MCC<ZZZ>.3GPPNETWORK.ORG | mmecC1.mmegi3593.mme.epc.mnc003.mcc123.3gppnetwork.org | [N-A/N-AAAA查询](zh-cn_topic_0291347136.html)",网络部署/业务专题/5G Core 4/5G互操作解决方案/基于N26接口5GC互操作实现原理/互操作业务信令处理原理/EPS到5GS的重选/EPS到5GS的重选涉及的网元发现/zh-cn_topic_0290798185.html
语义理解,信息提取,"你是核心网运维工程师，你的任务是根据指令从提供的输入中提取信息

输入：
【弱口令字典成员添加】
参数标识：WEAKPWD，参数名称：弱口令，参数说明：必选参数，用于增加弱口令字典中的成员。数据来源：本端规划，取值范围：字符串类型，输入长度范围为1～32。默认值：无，配置原则：密码不支持中文字符。密码区分大小写。最大能添加2000条弱口令字典数据。
指令：
请提取参数标识、参数名称、参数说明、数据来源、取值范围、输入长度范围、默认值、配置原则、最大添加数量共9个信息

所有信息的默认值都为空字符串，以json格式输出","输出：
{
""参数标识"": ""WEAKPWD"",
""参数名称"": ""弱口令"",
""参数说明"": ""必选参数，用于增加弱口令字典中的成员"",
""数据来源"": ""本端规划"",
""取值范围"": ""字符串类型"",
""输入长度范围"": ""1～32"",
""默认值"": ""无"",
""配置原则"": ""密码不支持中文字符。密码区分大小写"",
""最大添加数量"": ""2000条""
}",表格,详细说明了增加弱口令字典成员的参数，包括参数标识、参数名称和参数说明。,参数标识：WEAKPWD，参数名称：弱口令，参数说明：必选参数，用于增加弱口令字典中的成员。数据来源：本端规划，取值范围：字符串类型，输入长度范围为1～32。默认值：无，配置原则：密码不支持中文字符。密码区分大小写。最大能添加2000条弱口令字典数据。,OM参考/命令/UNC MML命令/业务服务管理/NCG业务及策略管理/计费管理/业务系统管理/弱口令管理/add_weakpwddicmem.html
语义理解,信息提取,"你是核心网运维工程师，你的任务是根据指令从提供的输入中提取信息

输入：
【故障现象】我方线下联系客户经理123xxxx3405得知：故障数量：1张，前期正常使用，12日出现无法上网，配合测试联系123xxxx3405。【故障地点】浙江台xxxx。【是否首次使用】否。【是否机卡绑定/贴片卡】无机卡绑定。【终端设备】4G路由器。【故障号码信息】经HSS核实，故障号码14xxxx367040对应IMSI：46xxxxx7040状态正常，开通2、3、4G上网功能，限制2、3G接入，签约APN为CMIOT，CS域附着时间：2024-01-05 08:45:58，MME域附着时间：2024-01-05 09:09。【客户联系方式】未知。【客户经理联系方式】123xxxx3405。【夜间是否可配合测试】否。鉴于此，烦请贵方协助处理，谢谢！。【自动预处理结果】投诉现象为前期正常使用，12日出现无法上网，查询运管最近无上线记录；请浙江省核心侧核查。经NFMHSS01BE01AHW hss核实，故障号码 1441564367040，状态正常，卡类型为USIM卡，开通2G上网功能，开通4G上网功能，ARD 2G接入受限，ARD 4G接入不受限，NB-ARD受限，2G呼入禁止，2G呼出禁止，4G语音业务禁止，未开通短信功能，签约APN为CMIOT，CSUPLTIME = 2024-01-05 08:45:58，PSUPLTIME =，MME-UpdateLocation-Time = 2024-01-05 09:09:46。未查询到IMS信息。通用apn对接四大区全部PGW。
指令：
请提取故障现象、故障APN列表、故障地点、故障号码、故障卡数量、故障开始时间、故障结束时间、URL或IP、IMSI列表共9个信息

所有信息的默认值都为空字符串，以json格式输出","{
""故障现象"": ""前期正常使用，12日出现无法上网"",
""故障APN列表"": [""CMIOT""],
""故障地点"": ""浙江台xxxx"",
""故障号码"": ""14xxxx367040"",
""故障卡数量"": ""1"",
""故障开始时间"": ""2024-01-12"",
""故障结束时间"": """",
""URL或IP"": """",
""IMSI列表"": [""46xxxxx7040""]
}",处理步骤,描述了在4G网络中，使用APN进行DNS查询并获取P-GW的组名、接口名和IP地址的全过程。,P-GW查询过程如图1所示。1. 根据当前用户使用的APN，向DNS查询域名“cmnet.apn.epc.mnc000.mcc234.3gppnetwork.org”的NAPTR记录，DNS服务器上涉及的记录如图2所示。2. DNS返回NAPTR记录查询响应，响应消息中“Replacement”字段携带了P-GW的组名“pgw-list-1.qd.sd.node.epc.mnc000.mcc234.3gppnetwork.org”。* “Flags”为“S”，表示下一次使用SRV记录查询。* “Service”为“x-3gpp-pgw:x-s5-gtp:x-gn”，表示支持S5接口和Gn接口。3. UNC根据2返回的P-GW组名，向DNS查询进行SRV记录查询，DNS服务器上涉及的记录如图3所示。4. DNS返回SRV查询响应，即返回“pgw-list-1”中对应P-GW的S5接口名“topon.pgw-s5.qdugw01.qd.sd.node.epc.mnc000.mcc234.3gppnetwork.org”。5. UNC根据P-GW的S5接口名进行A记录查询，DNS服务器上涉及的记录如图4所示。6. DNS返回A查询响应，即返回P-GW的S5接口名对应的IP地址信息。,网络部署/业务专题/UNC网元选择专题/2/3/4G网络的网元选择/DNS应用场景及查询方式/DNS查询流程介绍/N-S-A查询/zh-cn_topic_0308066103.html
文本生成,工单改写,"你是核心网运维工程师，请根据<改写规则>，将<用户问题>补充完整

<改写规则>：
问题前添加”在5G Core的计费消息缓存机制中“

<用户问题>：
当NCG恢复后，计费消息如何进行回放？

返回改写后的用户问题",在5G Core的计费消息缓存机制中，当NCG恢复后，计费消息如何进行回放？,处理步骤,描述了5G Core中当主备NCG均故障时的处理方式，包括计费消息的缓存方式，以及NCG恢复后计费消息的回放方式,"当主备NCG均故障时，为避免用户体验变差，可以采用不做配额管理的计费方式，允许用户继续使用业务，并缓存计费信息，随着NCG的恢复，可以将缓存的计费信息回放到对应的NCG。

开启计费缓存功能需配置：

  * 配置Tx定时器超时，导致的SMF处理动作（**SET FAILHANDLING** 命令配置FHACTION参数为CONTINUE）**。**
  * 配置PDU会话级异常状态返回码，导致的SMF的处理动作（**ADD PDUSCACT** 命令配置SCACT参数为FAILOVER或CONTINUE）**。**
  * 配置计费缓存功能（**SET N40MSGSTG** 命令配置STGSWITCH）**。**
  * 配置SMF生成ChargingDataRef（**SET CNVRGDCHGPARA** 命令配置CHGDATAREFGEN）。

当NCG恢复后，SMF支持将缓存的计费消息进行回放，发送到NCG。

P1：SMF配置了计费缓存功能，以及回放速率、回放最小间隔（**SET N40MSGSTG** 命令配置）。当计费消息缓存时，SMF确定回放目标NCG。

1：SMF判断回放目标NCG已经恢复，且当前缓存的计费消息已经超过最小重放间隔（**SET N40MSGSTG** 命令的REPLAYINTERVAL配置），则发送回放的Charging Data Request消息，消息中携带failure或failureafter标识。

2：NCG返回Charging Data Response消息。

P2：如果响应码为2XX，则回放成功，SMF释放本地对应的缓存消息。如果响应码为429，SMF需要继续存储该消息，待后续再次尝试回放。",网络部署/业务专题/5G Core 计费解决方案/计费解决方案概述/N40接口融合计费/融合计费可靠性/zh-cn_topic_0231702099.html
文本生成,工单改写,"你是核心网运维工程师，请根据<改写规则>，将<用户问题>补充完整

<改写规则>：
问题前添加""在5G网络中""，且将问题的主语变为""用户身份标识""

<用户问题>：
SUCI是如何生成的？

返回改写后的用户问题",在5G网络中，用户身份标识SUCI是如何生成的？,概念介绍,解释了5G网络中的身份识别功能特性的原理，包括其涉及的各种身份标识的定义。,"5G网络中，用户身份标识包括SUPI、SUCI、5G-GUTI、PEI。
SUPI（Subscription Permanent Identifier）：5G网络中UE的永久身份标识。
SUCI（Subscription Concealed Identifier）：UE对SUPI加密生成SUCI。当UE无有效5G-GUTI时，采用SUCI标识自己的身份。
5G-GUTI（5G Globally Unique Temporary UE Identity）：AMF为UE分配的临时身份标识。
PEI（Permanent Equipment Identifier）：5G网络中UE的永久设备标识。",网络部署/特性部署/UNC特性指南/安全管理功能/WSFD-010304 身份识别功能/身份识别功能（5G）/unc_2000_feature_desc_5g_identity_check.html
文本生成,工单改写,"你是核心网运维工程师，请根据<改写规则>，将<用户问题>补充完整

<改写规则>：
问题前添加'在QoS控制中，'

<用户问题>：
MME是如何通过命令进行基于IMSI号段的控制的?

返回改写后的用户问题",在QoS控制中，MME是如何通过命令进行基于IMSI号段的控制的?,处理步骤,描述MME如何通过命令进行基于IMSI号段的QoS控制，以及控制过程中对QoS的决策流程。,MME通过ADD QOSCAP命令和ADD QOSCAPBYQCI命令进行基于IMSI号段的QoS控制，控制对象为指定号段用户的Non-GBR承载，IMSI号段通过上述两个命令中的'SUBRANGE（用户范围）'参数定义。ADD QOSCAP命令用于限制特定用户群的Non-GBR承载的QoS控制策略。ADD QOSCAPBYQCI命令用于限制QCI粒度的特定用户群的Non-GBR承载的QoS控制策略。,网络部署/特性部署/UNC特性指南/QoS功能/WSFD-105104 基于IMSI号段的QoS控制/基于IMSI号段的QoS控制（适用于MME）/实现原理/unc_2000_feature_desc_qos_control_based_on_imsi_03.html
文本生成,工单改写,"你是核心网运维工程师，请根据<改写规则>，将<用户问题>补充完整

<改写规则>：
问题前添加""在5G网络中的UPF（User Plane Function）中""

<用户问题>：
SMF下发的策略执行业务识别和控制是如何实现的？

返回改写后的用户问题",在5G网络中的UPF（User Plane Function）中，SMF下发的策略执行业务识别和控制是如何实现的？,概念介绍,解释了5G网络中的用户面功能UPF（User Plane Function）的功能和作用，它是5G Core中的用户面功能，主要实现根据SMF下发的策略执行业务识别和控制、生成用户下行路由并进行数据报文转发等功能，和控制面配合为用户提供业务服务。,UPF（User Plane Function）是5G Core中的用户面功能，主要实现根据SMF下发的策略执行业务识别和控制、生成用户下行路由并进行数据报文转发等功能，和控制面配合为用户提供业务服务。,5G基础知识/一望5G/5G Core业务解决方案解读：用户面网元选择/zh-cn_topic_0000001146258403.html
文本生成,工单改写,"你是核心网运维工程师，请根据<改写规则>，将<用户问题>补充完整

<改写规则>：
问题前添加""在核心网运维中，""，并在问题后添加""，以及其在实时、动态地调整MME Pool内的负荷分布中的应用场景和客户价值。""

<用户问题>：
MME Pool 用户迁移特性是什么？

返回改写后的用户问题",在核心网运维中，MME Pool 用户迁移特性是什么，以及其在实时、动态地调整MME Pool内的负荷分布中的应用场景和客户价值。,概念介绍,介绍MME Pool 用户迁移特性的定义，以及它的应用场景和客户价值,MME Pool 用户迁移特性是指根据MME Pool内各MME的负载情况，操作人员通过EMS（Element Management System）下发启动迁移命令，将负载过高或需要升级的MME上的用户迁移到MME Pool中的其他MME上，从而实现实时、动态地调整MME Pool内的负荷分布。在个别场景下，本特性可能是指MME Pool间的迁移。如下文提到的基于eNodeB进行迁移。,网络部署/特性部署/UNC特性指南/容灾功能/MME容灾方案/容灾原理/WSFD-104103 MME Pool 用户迁移/unc_2000_feature_desc_subscriber_migration_in_mme_pool_011.html
文本生成,工单改写,"你是核心网运维工程师，请根据<改写规则>，将<用户问题>补充完整

<改写规则>：
问题前添加""在5G网络切片技术中""

<用户问题>：
如何理解S-NSSAI的概念？

返回改写后的用户问题",在5G网络切片技术中，如何理解S-NSSAI的概念？,概念介绍,5G网络需要承载多类型的业务场景，各场景将区别于4G，不再使用一张网络提供服务，而是利用网络切片技术在同一个硬件基础设施上按需分配资源组合出不同且相互隔离的切片网络。,5G网络需要承载多类型的业务场景，各场景将区别于4G，不再使用一张网络提供服务，而是利用网络切片技术在同一个硬件基础设施上按需分配资源组合出不同且相互隔离的切片网络。网络切片是一个端到端的概念，包括无线、传输及核心网，UNC则提供了核心网内的切片功能，主要由NSSF网络功能来实现。网络切片使用S-NSSAI（Single Network Slice Selection Assistance Information）进行标识。相关概念如下：Subscribed S-NSSAIs、Requested NSSAI、Configured NSSAI、Allowed NSSAI、Rejected S-NSSAIs。,网络部署/特性部署/UNC特性指南/网络切片功能/zh-cn_topic_0247814887.html
文本生成,工单改写,"你是核心网运维工程师，请根据<改写规则>，将<用户问题>补充完整

<改写规则>：
问题前添加“在4G/5G互操作时”，问题尾部添加“，并解释可能出现的问题及其原因。”

<用户问题>：
融合SMF+PGW-C在向NRF注册时携带对应PGW-C的FQDN的作用是什么

返回改写后的用户问题",在4G/5G互操作时，融合SMF+PGW-C在向NRF注册时携带对应PGW-C的FQDN的作用是什么，并解释可能出现的问题及其原因。,概念介绍,解释了在4G/5G互操作时，如何通过融合SMF+PGW-C和DNS Server的配置来保证4G/5G的会话选到同样的融合SMF+PGW-C，从而保证业务连续性。还包括在未配置融合PGW-C+SMF网元信息时，可能会导致的问题。,在搞明白了4G/5G互操作时AMF和MME的发现机制后，后续的会话又是咋样实现的呢？下面我们来看下会话部分的实现机制。如前文所述，控制面PGW-C和SMF进行了融合。一方面，融合SMF+PGW-C在向NRF注册时携带对应PGW-C的FQDN； 另一方面，在现网DNS Sever上配置融合SMF+ PGW-C网元信息，以保证4G/5G的会话选到同样的融合SMF+PGW-C，从而保证业务连续性了。注意：如未在现网DNS Sever上配置融合PGW-C+SMF网元信息，当UE从4G切换到5G网络时携带的是现网UGW的主机名，会导致AMF无法根据此主机名获取到SMF网元，从而导致选不到SMF，造成切换失败。,5G基础知识/一望5G/5G Core业务解决方案解读：4G&5G互操作/4G/5G互操作/4G/5G互操作实现原理关键点/zh-cn_topic_0000001086009554.html
文本生成,工单改写,"你是核心网运维工程师，请根据<改写规则>，将<用户问题>补充完整

<改写规则>：
问题前添加""在基于业务感知的带宽控制操作中，""

<用户问题>：
如何查询License配置开关是否已打开？

返回改写后的用户问题",在基于业务感知的带宽控制操作中，如何查询License配置开关是否已打开？,处理步骤,描述如何调测基于业务感知的带宽控制功能的具体操作步骤。,1. 进入“MML命令行-UNC”窗口。2. 执行[**LST LICENSESWITCH**] 命令，查询License配置开关是否已打开。3. 创建用户跟踪任务，消息类型选择N4/Gx/N7。4. 测试终端使用“huawei.com”发起接入网络请求。5. 执行**[DSP PDUSESSION]** 命令，通过测试终端的IMSI查看测试终端是否激活成功。6. 检查N4接口跟踪报文，是否将指定规则传递给UPF。7. 执行[**LST RULE**] 命令查询带宽控制规则的名称是否与UPF/PCF上的配置一致。8. 请联系华为技术支持工程师。,网络部署/特性部署/UNC特性指南/智能PCC解决方案/WSFD-211005 基于业务感知的带宽控制/zh-cn_opi_0279619227.html
文本生成,工单改写,"你是核心网运维工程师，请根据<改写规则>，将<用户问题>补充完整

<改写规则>：
在问题前添加 '在SGSN和MME网元中', 并将问题的动词改为相应的命令形式

<用户问题>：
如何清除SCTP统计信息？

返回改写后的用户问题",在SGSN和MME网元中，如何使用命令来清除SCTP统计信息？,处理步骤,介绍如何在SGSN和MME网元中使用命令来清除SCTP统计信息,"此命令用于清除SCTP统计信息
本地用户权限: manage-ug；system-ug
网管用户权限: G_1，管理员级别命令组；G_2，操作员级别命令组
参数说明: 参考表格
使用实例: 清除RU名称为USN_VSU1、进程号为0的SCTP偶联统计信息：CLR SCTPAS: CLRAST=GLBTR, RUNAME=""USN_VSU1"", PN=0;",OM参考/命令/UNC MML命令/业务服务管理/Pre 5G接入业务管理/控制面管理/扩展调测/业务调测/SCTP统计信息/clr_sctpas.html
格式遵从,Json格式,"你是核心网运维工程师，你的任务是将以下处理步骤转换成step的形式，返回json格式的列表。

处理步骤：
1. 首先，监控MME与HSS之间Diameter链路的状态。如果链路从正常或故障状态变为拥塞状态，计数器加1。
2. 继续监控一个测量周期内，MME与HSS之间Diameter链路处于拥塞状态的次数。
3. 收集数据，并将数据以次为单位进行记录。
4. 如果在一个测量周期内，链路拥塞的次数超过预设的阈值，需要立即报告。然后进行下一步的处理。
5. 根据收集到的数据，分析链路拥塞的原因。
6. 根据分析的结果，确定解决链路拥塞的方法，并执行相应的操作。
7. 执行操作后，再次监控MME与HSS之间Diameter链路的状态，确认链路是否恢复正常。
8. 如果链路恢复正常，结束处理。如果链路仍然拥塞，继续执行步骤5。

注意只回答json，不要回答其它内容","[
  {
    ""step"": ""1"",
    ""content"": ""监控MME与HSS之间Diameter链路的状态。如果链路从正常或故障状态变为拥塞状态，计数器加1""
  },
  {
    ""step"": ""2"",
    ""content"": ""继续监控一个测量周期内，MME与HSS之间Diameter链路处于拥塞状态的次数""
  },
  {
    ""step"": ""3"",
    ""content"": ""收集数据，并将数据以次为单位进行记录""
  },
  {
    ""step"": ""4"",
    ""content"": ""如果在一个测量周期内，链路拥塞的次数超过预设的阈值，需要立即报告。然后进行下一步的处理""
  },
  {
    ""step"": ""5"",
    ""content"": ""根据收集到的数据，分析链路拥塞的原因""
  },
  {
    ""step"": ""6"",
    ""content"": ""根据分析的结果，确定解决链路拥塞的方法，并执行相应的操作""
  },
  {
    ""step"": ""7"",
    ""content"": ""执行操作后，再次监控MME与HSS之间Diameter链路的状态，确认链路是否恢复正常""
  },
  {
    ""step"": ""8"",
    ""content"": ""如果链路恢复正常，结束处理。如果链路仍然拥塞，继续执行步骤5""
  }
]",概念介绍,介绍了一个测量周期内，MME与HSS之间Diameter链路处于拥塞状态的次数的统计方法，包括含义、单位、测量点、测量类型和计算公式。,"含义：本测量指标统计了一个测量周期内，MME与HSS之间Diameter链路处于拥塞状态的次数。
单位：次
测量点：当Diameter链路从正常或故障状态变为拥塞状态时，计数器加1。
测量类型：累加和
计算公式：无。",OM参考/性能指标/业务性能指标/业务性能指标/SGSN/MME业务性能指标/LINK性能指标/S6a/Diameter链路/117490814.html
格式遵从,Json格式,"你是核心网运维工程师，你的任务是将以下处理步骤转换成step的形式，返回json格式的列表。

处理步骤：
处理步骤：
1. 配置NRF1。
   1. 关闭双活NRF容灾特性的License配置开关。
   2. 删除双活NRF容灾实例通信地址信息。
   3. 删除双活容灾实例。
   4. 查询容灾配置信息，确保容灾配置信息已删除。
2. 配置NRF2。
   1. 关闭双活NRF容灾特性的License配置开关。
   2. 删除双活NRF容灾实例通信地址信息。
   3. 删除双活容灾实例。
   4. 查询容灾配置信息，确保容灾配置信息已删除。

注意只回答json，不要回答其它内容","[
    {
        ""step"": ""配置NRF1"",
        ""sub_steps"": [
            ""关闭双活NRF容灾特性的License配置开关"",
            ""删除双活NRF容灾实例通信地址信息"",
            ""删除双活容灾实例"",
            ""查询容灾配置信息，确保容灾配置信息已删除""
        ]
    },
    {
        ""step"": ""配置NRF2"",
        ""sub_steps"": [
            ""关闭双活NRF容灾特性的License配置开关"",
            ""删除双活NRF容灾实例通信地址信息"",
            ""删除双活容灾实例"",
            ""查询容灾配置信息，确保容灾配置信息已删除""
        ]
    }
]",代码,提供了一个现网2个单机运行的NRF组成双活容灾组，需要将改造后的双活NRF回退到2个单机NRF时的脚本示例。,"脚本：//配置NRF1。//关闭双活NRF容灾特性的License配置开关。SET LICENSESWITCH: LICITEM="" LKV2DLNRR01"", SWITCH=DISABLE;//删除双活NRF容灾实例通信地址信息。RMV DRCOMM: DRINSTID=1, IPVERSION=COMM_IPV4, COMMIPV4=""10.5.5.2"";RMV DRCOMM: DRINSTID=0, IPVERSION=COMM_IPV4, COMMIPV4=""10.5.5.1"";//删除双活容灾实例。RMV DRINST: DRINSTID=0;//查询容灾配置信息，确保容灾配置信息已删除。DSP DRINFO: PEERDRINSTID=1;//配置NRF2。//关闭双活NRF容灾特性的License配置开关。SET LICENSESWITCH: LICITEM="" LKV2DLNRR01"", SWITCH=DISABLE;//删除双活NRF容灾实例通信地址信息。RMV DRCOMM: DRINSTID=0, IPVERSION=COMM_IPV4, COMMIPV4=""10.5.5.1"";RMV DRCOMM: DRINSTID=1, IPVERSION=COMM_IPV4, COMMIPV4=""10.5.5.2"";//删除双活容灾实例。RMV DRINST: DRINSTID=1;//查询容灾配置信息，确保容灾配置信息已删除。DSP DRINFO: PEERDRINSTID=0;",网络部署/业务专题/5G Core NRF解决方案/NRF功能部署/5G独立部署/NRF单层容灾组网/NRF解决方案基本功能配置实例（NRF双活容灾+ NF注册/更新/去注册、NF订阅/通知+NF发现）/新建场景/2个单机改造双活场景/zh-cn_opi_0296491554.html
